hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility,rate_non_facility_adj,rate_facility_adj,locality_name,work_gpci,pe_gpci,mp_gpci
27098,,A,9.09,8.68,8.68,1.93,19.7,19.7,33.4009,658.0,658.0,626.29,626.29,SOUTH CAROLINA,1.0,0.924,0.85
27100,,A,11.07,9.87,9.87,2.36,23.3,23.3,33.4009,778.24,778.24,741.36,741.36,SOUTH CAROLINA,1.0,0.924,0.85
27105,,A,11.74,10.09,10.09,2.5,24.33,24.33,33.4009,812.64,812.64,774.51,774.51,SOUTH CAROLINA,1.0,0.924,0.85
27110,,A,13.43,10.63,10.63,2.86,26.92,26.92,33.4009,899.15,899.15,857.84,857.84,SOUTH CAROLINA,1.0,0.924,0.85
27111,,A,12.29,10.27,10.27,2.61,25.17,25.17,33.4009,840.7,840.7,801.55,801.55,SOUTH CAROLINA,1.0,0.924,0.85
27120,,A,18.77,12.65,12.65,3.99,35.41,35.41,33.4009,1182.73,1182.73,1130.62,1130.62,SOUTH CAROLINA,1.0,0.924,0.85
27122,,A,15.69,11.24,11.24,3.33,30.26,30.26,33.4009,1010.71,1010.71,965.5,965.5,SOUTH CAROLINA,1.0,0.924,0.85
27125,,A,16.22,11.36,11.36,3.43,31.01,31.01,33.4009,1035.76,1035.76,989.74,989.74,SOUTH CAROLINA,1.0,0.924,0.85
27130,,A,19.11,11.63,11.63,4.05,34.79,34.79,33.4009,1162.02,1162.02,1112.2,1112.2,SOUTH CAROLINA,1.0,0.924,0.85
27132,,A,25.05,14.67,14.67,5.31,45.03,45.03,33.4009,1504.04,1504.04,1440.2,1440.2,SOUTH CAROLINA,1.0,0.924,0.85
27134,,A,29.52,14.96,14.96,6.28,50.76,50.76,33.4009,1695.43,1695.43,1625.99,1625.99,SOUTH CAROLINA,1.0,0.924,0.85
27137,,A,22.13,12.61,12.61,4.71,39.45,39.45,33.4009,1317.67,1317.67,1262.06,1262.06,SOUTH CAROLINA,1.0,0.924,0.85
27138,,A,23.11,12.92,12.92,4.9,40.93,40.93,33.4009,1367.1,1367.1,1309.75,1309.75,SOUTH CAROLINA,1.0,0.924,0.85
27140,,A,12.46,9.75,9.75,2.65,24.86,24.86,33.4009,830.35,830.35,792.32,792.32,SOUTH CAROLINA,1.0,0.924,0.85
27146,,A,18.45,12.62,12.62,3.93,35.0,35.0,33.4009,1169.03,1169.03,1117.31,1117.31,SOUTH CAROLINA,1.0,0.924,0.85
27147,,A,21.52,13.6,13.6,4.58,39.7,39.7,33.4009,1326.02,1326.02,1268.55,1268.55,SOUTH CAROLINA,1.0,0.924,0.85
27151,,A,23.52,14.24,14.24,5.01,42.77,42.77,33.4009,1428.56,1428.56,1367.31,1367.31,SOUTH CAROLINA,1.0,0.924,0.85
27156,,A,25.57,14.89,14.89,5.45,45.91,45.91,33.4009,1533.44,1533.44,1468.33,1468.33,SOUTH CAROLINA,1.0,0.924,0.85
27158,,A,20.51,13.08,13.08,4.36,37.95,37.95,33.4009,1267.56,1267.56,1212.52,1212.52,SOUTH CAROLINA,1.0,0.924,0.85
27161,,A,17.44,12.25,12.25,3.71,33.4,33.4,33.4009,1115.59,1115.59,1065.91,1065.91,SOUTH CAROLINA,1.0,0.924,0.85
27165,,A,19.78,13.72,13.72,4.21,37.71,37.71,33.4009,1259.55,1259.55,1203.63,1203.63,SOUTH CAROLINA,1.0,0.924,0.85
27170,,A,17.17,11.07,11.07,3.65,31.89,31.89,33.4009,1065.15,1065.15,1018.77,1018.77,SOUTH CAROLINA,1.0,0.924,0.85
27175,,A,9.15,7.49,7.49,1.95,18.59,18.59,33.4009,620.92,620.92,592.14,592.14,SOUTH CAROLINA,1.0,0.924,0.85
27176,,A,12.6,10.37,10.37,2.68,25.65,25.65,33.4009,856.73,856.73,816.98,816.98,SOUTH CAROLINA,1.0,0.924,0.85
27177,,A,15.69,11.7,11.7,3.34,30.73,30.73,33.4009,1026.41,1026.41,979.98,979.98,SOUTH CAROLINA,1.0,0.924,0.85
27178,,A,12.6,10.37,10.37,2.68,25.65,25.65,33.4009,856.73,856.73,816.98,816.98,SOUTH CAROLINA,1.0,0.924,0.85
27179,,A,13.62,10.53,10.53,2.91,27.06,27.06,33.4009,903.83,903.83,862.52,862.52,SOUTH CAROLINA,1.0,0.924,0.85
27181,,A,15.78,11.78,11.78,3.35,30.91,30.91,33.4009,1032.42,1032.42,985.73,985.73,SOUTH CAROLINA,1.0,0.924,0.85
27185,,A,9.55,8.68,8.68,2.04,20.27,20.27,33.4009,677.04,677.04,644.78,644.78,SOUTH CAROLINA,1.0,0.924,0.85
27187,,A,13.87,10.73,10.73,2.94,27.54,27.54,33.4009,919.86,919.86,877.89,877.89,SOUTH CAROLINA,1.0,0.924,0.85
27197,,A,1.49,1.91,1.91,0.3,3.7,3.7,33.4009,123.58,123.58,117.23,117.23,SOUTH CAROLINA,1.0,0.924,0.85
27198,,A,4.63,2.89,2.89,0.99,8.51,8.51,33.4009,284.24,284.24,271.95,271.95,SOUTH CAROLINA,1.0,0.924,0.85
27200,,A,1.87,4.12,3.75,0.39,6.38,6.01,33.4009,213.1,200.74,200.69,189.27,SOUTH CAROLINA,1.0,0.924,0.85
