hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
22846,,A,12.09,4.06,4.06,4.01,20.16,20.16,33.4009,673.36,673.36
22847,,A,13.44,4.28,4.28,2.86,20.58,20.58,33.4009,687.39,687.39
22848,,A,5.84,1.93,1.93,1.74,9.51,9.51,33.4009,317.64,317.64
22849,,A,18.69,12.26,12.26,5.78,36.73,36.73,33.4009,1226.82,1226.82
22850,,A,9.57,8.88,8.88,3.01,21.46,21.46,33.4009,716.78,716.78
22852,,A,9.14,8.73,8.73,2.85,20.72,20.72,33.4009,692.07,692.07
22853,,A,4.14,1.38,1.38,1.33,6.85,6.85,33.4009,228.8,228.8
22854,,A,5.36,1.8,1.8,1.84,9.0,9.0,33.4009,300.61,300.61
22855,,A,15.46,11.1,11.1,4.9,31.46,31.46,33.4009,1050.79,1050.79
22856,,A,23.45,14.72,14.72,7.4,45.57,45.57,33.4009,1522.08,1522.08
22857,,A,26.45,14.89,14.89,5.63,46.97,46.97,33.4009,1568.84,1568.84
22858,,A,8.19,2.72,2.72,2.54,13.45,13.45,33.4009,449.24,449.24
22859,,A,5.36,1.81,1.81,1.82,8.99,8.99,33.4009,300.27,300.27
22860,,A,6.71,1.92,1.92,1.68,10.31,10.31,33.4009,344.36,344.36
22861,,A,32.53,21.07,21.07,13.73,67.33,67.33,33.4009,2248.88,2248.88
22862,,R,31.81,22.64,22.64,13.45,67.9,67.9,33.4009,2267.92,2267.92
22864,,A,28.67,19.72,19.72,12.12,60.51,60.51,33.4009,2021.09,2021.09
22865,,R,30.96,22.35,22.35,13.08,66.39,66.39,33.4009,2217.49,2217.49
22867,,A,14.63,11.34,11.34,4.33,30.3,30.3,33.4009,1012.05,1012.05
22868,,A,3.9,1.31,1.31,1.22,6.43,6.43,33.4009,214.77,214.77
22869,,A,6.85,4.32,4.32,0.66,11.83,11.83,33.4009,395.13,395.13
22870,,A,2.28,0.53,0.53,0.21,3.02,3.02,33.4009,100.87,100.87
22900,,A,8.11,6.3,6.3,1.98,16.39,16.39,33.4009,547.44,547.44
22901,,A,9.86,6.88,6.88,2.47,19.21,19.21,33.4009,641.63,641.63
22902,,A,4.31,10.11,4.54,1.07,15.49,9.92,33.4009,517.38,331.34
22903,,A,6.23,5.05,5.05,1.56,12.84,12.84,33.4009,428.87,428.87
22904,,A,16.27,9.45,9.45,3.78,29.5,29.5,33.4009,985.33,985.33
22905,,A,21.04,11.18,11.18,4.83,37.05,37.05,33.4009,1237.5,1237.5
23000,,A,4.37,12.04,4.99,0.7,17.11,10.06,33.4009,571.49,336.01
23020,,A,9.13,8.44,8.44,1.91,19.48,19.48,33.4009,650.65,650.65
23030,,A,3.38,10.11,3.22,0.7,14.19,7.3,33.4009,473.96,243.83
23031,,A,2.72,10.63,3.17,0.57,13.92,6.46,33.4009,464.94,215.77
23035,,A,8.93,8.23,8.23,1.84,19.0,19.0,33.4009,634.62,634.62
23040,,A,9.51,8.68,8.68,1.96,20.15,20.15,33.4009,673.03,673.03
23044,,A,7.4,7.22,7.22,1.64,16.26,16.26,33.4009,543.1,543.1
23065,,A,2.24,4.34,1.8,0.35,6.93,4.39,33.4009,231.47,146.63
23066,,A,4.19,13.62,5.86,0.92,18.73,10.97,33.4009,625.6,366.41
23071,,A,5.76,5.06,5.06,1.37,12.19,12.19,33.4009,407.16,407.16
23073,,A,9.88,7.57,7.57,2.27,19.72,19.72,33.4009,658.67,658.67
23075,,A,4.1,11.59,4.6,0.92,16.61,9.62,33.4009,554.79,321.32
23076,,A,7.22,6.82,6.82,1.63,15.67,15.67,33.4009,523.39,523.39
23077,,A,17.22,10.33,10.33,3.93,31.48,31.48,33.4009,1051.46,1051.46
23078,,A,21.99,12.68,12.68,5.02,39.69,39.69,33.4009,1325.68,1325.68
23100,,A,6.05,7.37,7.37,1.29,14.71,14.71,33.4009,491.33,491.33
23101,,A,5.58,6.5,6.5,1.2,13.28,13.28,33.4009,443.56,443.56
23105,,A,8.27,8.13,8.13,1.72,18.12,18.12,33.4009,605.22,605.22
23106,,A,5.98,7.35,7.35,1.28,14.61,14.61,33.4009,487.99,487.99
23107,,A,8.65,8.3,8.3,1.8,18.75,18.75,33.4009,626.27,626.27
23120,,A,7.21,8.22,8.22,1.48,16.91,16.91,33.4009,564.81,564.81
23125,,A,9.4,8.63,8.63,2.0,20.03,20.03,33.4009,669.02,669.02
23130,,A,7.58,8.52,8.52,1.59,17.69,17.69,33.4009,590.86,590.86
23140,,A,6.94,7.5,7.5,1.47,15.91,15.91,33.4009,531.41,531.41
23145,,A,9.17,8.55,8.55,1.95,19.67,19.67,33.4009,657.0,657.0
23146,,A,7.88,8.29,8.29,1.68,17.85,17.85,33.4009,596.21,596.21
23150,,A,8.69,8.4,8.4,1.85,18.94,18.94,33.4009,632.61,632.61
23155,,A,10.59,9.57,9.57,2.25,22.41,22.41,33.4009,748.51,748.51
23156,,A,8.88,8.46,8.46,1.9,19.24,19.24,33.4009,642.63,642.63
23170,,A,7.03,7.68,7.68,1.48,16.19,16.19,33.4009,540.76,540.76
23172,,A,7.13,7.71,7.71,1.5,16.34,16.34,33.4009,545.77,545.77
23174,,A,9.8,9.81,9.81,2.09,21.7,21.7,33.4009,724.8,724.8
23180,,A,8.77,8.98,8.98,1.86,19.61,19.61,33.4009,654.99,654.99
23182,,A,8.39,9.02,9.02,1.78,19.19,19.19,33.4009,640.96,640.96
23184,,A,9.65,9.16,9.16,2.04,20.85,20.85,33.4009,696.41,696.41
23190,,A,7.28,7.6,7.6,1.54,16.42,16.42,33.4009,548.44,548.44
23195,,A,10.1,9.0,9.0,2.15,21.25,21.25,33.4009,709.77,709.77
23200,,A,22.14,14.01,14.01,4.73,40.88,40.88,33.4009,1365.43,1365.43
23210,,A,26.53,15.41,15.41,5.64,47.58,47.58,33.4009,1589.21,1589.21
23220,,A,29.45,16.31,16.31,6.26,52.02,52.02,33.4009,1737.51,1737.51
23330,,A,1.85,7.58,2.73,0.4,9.83,4.98,33.4009,328.33,166.34
23333,,A,5.85,6.66,6.66,1.25,13.76,13.76,33.4009,459.6,459.6
23334,,A,15.11,11.05,11.05,3.06,29.22,29.22,33.4009,975.97,975.97
23335,,A,18.53,12.1,12.1,3.75,34.38,34.38,33.4009,1148.32,1148.32
23350,,A,0.98,3.63,0.19,0.09,4.7,1.26,33.4009,156.98,42.09
23395,,A,18.08,13.46,13.46,3.72,35.26,35.26,33.4009,1177.72,1177.72
23397,,A,16.34,11.4,11.4,3.48,31.22,31.22,33.4009,1042.78,1042.78
